"","Ssa85","Ssa197","Oneu9","Ogo2","Sfo1","Omy301","Str15","Str60","Str73","SsoSL417","SsoSL438"
"Observed frequency",0.0426762678315474,0.0727449008905488,0.0641218585622442,0.012840729111673,0.0537197133431919,0.0611772064642957,0.0851549671592775,0.0077449175153132,0.00757397041898101,0.0700045919706114,0.0223743480322428
"Median frequency",0.0418695003055051,0.0716686801113926,0.0643156149219582,0.0121576184658289,0.0527234567356034,0.0601843026778142,0.0845204500547742,0.00541352377186783,0.00698825929113329,0.068673352325217,0.0211494415545039
"2.5th percentile",0.00745163331032899,0.0382549730473575,0.0321087127362832,-0.0121420069079394,0.0253828315393443,0.0317485014301116,0.0471641080422995,-0.0273734726927662,-0.0210126357252821,0.0417351961438932,-0.00635086122328605
"97.5th percentile",0.0772560125100513,0.105349447470399,0.0979909034903702,0.0404032684098343,0.0795970621714137,0.0906904772038358,0.126257307957259,0.0432115773402549,0.0404250901236324,0.0982249614243774,0.0491003947250996
