"","Gilchrist","SE_MI","SE_WI","Sturgeon","WR_MI","WR_WI"
"Mean richness",5.56286664487832,6.46506646471504,5.78741297378356,5.51928378717915,4.18234463039159,4.33534344754072
"Total richness",61.1915330936615,71.1157311118654,63.6615427116191,60.7121216589707,46.0057909343075,47.6887779229479
