sample_type,repunit,collection,indiv,Ssa85,Ssa85.1,Ssa197,Ssa197.1,Oneu9,Oneu9.1,Ogo2,Ogo2.1,Sfo1,Sfo1.1,Omy301,Omy301.1,Str15,Str15.1,Str60,Str60.1,Str73,Str73.1,SsoSL417,SsoSL417.1,SsoSL438,SsoSL438.1
mixture,NA,ALL,14-BNT-M-27,113,117,137,137,198,200,236,236,135,139,102,106,225,225,99,99,144,148,178,188,108,112
mixture,NA,ALL,14-BNT-M-28,117,117,129,133,200,202,234,248,135,139,76,102,225,225,99,103,144,150,178,184,108,114
mixture,NA,ALL,14-BNT-M-29,113,115,129,137,202,202,234,248,119,135,100,104,219,225,99,99,150,150,178,178,108,108
mixture,NA,ALL,14-BNT-M-30,113,117,137,137,202,202,234,248,119,139,102,106,221,223,99,99,144,150,184,192,108,110
mixture,NA,ALL,14-BNT-M-31,113,115,133,137,200,200,236,236,133,139,76,104,219,221,99,103,148,150,178,184,112,112
mixture,NA,ALL,14-BNT-M-32,115,117,137,137,186,200,228,234,117,123,100,100,219,219,103,103,150,150,184,190,108,112
mixture,NA,ALL,14-BNT-M-33,115,117,133,133,202,202,234,236,133,135,76,102,219,219,99,99,148,148,182,184,112,114
mixture,NA,ALL,14-BNT-M-34,113,113,133,137,200,204,248,248,125,133,104,106,219,221,99,99,150,150,178,178,110,114
mixture,NA,ALL,14-BNT-M-35,113,113,133,137,200,202,234,234,133,139,100,104,219,225,99,99,150,150,178,188,112,114
mixture,NA,ALL,14-BNT-M-36,113,117,129,137,198,198,234,248,119,125,76,76,219,221,99,99,148,150,178,182,108,114
mixture,NA,ALL,14-BNT-M-37,113,117,129,137,202,202,234,236,131,135,102,104,225,225,99,99,144,150,178,182,108,112
mixture,NA,ALL,14-BNT-M-38,117,117,137,137,200,200,234,234,133,139,100,104,219,219,99,103,144,150,178,184,112,112
mixture,NA,ALL,14-BNT-M-39,113,115,137,137,198,202,234,248,119,125,76,100,219,219,99,99,144,148,188,190,108,108
mixture,NA,ALL,14-BNT-M-40,115,117,133,137,198,200,236,236,133,133,102,104,219,219,99,99,148,148,178,178,108,108
mixture,NA,ALL,14-BNT-M-41,113,117,137,137,200,202,234,248,133,135,76,106,225,225,99,99,148,150,178,184,114,114
mixture,NA,ALL,14-BNT-M-42,113,113,137,137,202,202,234,248,131,139,76,106,219,225,99,99,150,150,182,184,108,112
mixture,NA,ALL,14-BNT-M-43,113,117,137,137,198,200,234,234,135,135,76,76,219,221,99,99,148,148,182,188,108,112
mixture,NA,ALL,14-BNT-M-44,113,113,137,137,198,202,236,236,125,133,76,102,219,225,99,99,144,150,178,184,108,114
mixture,NA,ALL,14-BNT-O-01,113,115,137,137,202,202,234,234,131,133,104,106,219,225,99,103,148,150,182,192,112,114
mixture,NA,ALL,14-BNT-O-02,115,117,137,137,200,202,234,236,133,133,100,106,225,225,99,99,148,150,184,184,108,108
mixture,NA,ALL,14-BNT-O-03,113,113,137,137,200,202,234,236,119,135,76,76,219,225,103,103,144,150,184,184,110,110
